Q2,W,x,y,z_km,phperp_km,aff_m_k_i_mc,aff_m_k_f_mc,aff_xi_mc,aff_x_N_mc,aff_theta_k_i_mc,aff_k_iT_mc,aff_zeta_km_mc,aff_zN_km_mc,aff_theta_H_km_mc,aff_theta_delta_kT_km_mc,aff_delta_kT_km_mc
4.468912,4.2973413,0.20261937,0.5342437,0.16073766,0.728442,0.56410736,0.0056,0.25332016,0.16589105,0.45672968,0.5331414,0.15595652,0.15462556,1.3442913,0.852086,0.8749373
4.9427686,4.3567185,0.21449812,0.5581685,0.14841503,0.47646284,0.6691964,0.0056,0.6859909,0.45260724,-2.7154517,0.5468826,0.11458933,0.112532765,-1.3263949,-2.0796294,0.7863661
14.190599,2.5894637,0.7089781,0.48482656,0.36221325,0.6893848,1.4425055,0.0056,1.2407806,0.741471,1.0264082,0.6296159,0.38945085,0.34778926,0.7561553,0.932178,0.959893
8.104176,4.546696,0.29051113,0.67571664,0.162282,0.50993854,1.3813196,0.0099,0.40107173,0.21774533,-0.59830934,1.1846621,0.16973753,0.15851368,-1.0964977,-0.69426394,1.4460009
5.148679,4.695061,0.19567855,0.6373399,0.11678055,0.7367012,0.90689343,0.0056,0.23433734,0.15562606,0.58861405,0.36154443,0.13184321,0.11052819,2.902005,2.278413,0.456124
5.3989334,4.1040244,0.25274014,0.5174308,0.091401346,0.21795025,1.1068363,0.0056,0.7160329,0.4638844,-0.4130794,0.7243622,0.15257531,0.13738674,0.87133986,0.050564706,0.9496867
5.5000567,4.4735017,0.2232898,0.5966461,0.10625656,0.63372844,0.9270409,0.0056,0.30106136,0.17757027,-3.0166628,0.8691525,0.10061848,0.098596096,-2.781589,-2.92848,1.3831228
5.226499,3.557628,0.30738938,0.4118514,0.21098426,0.20008089,0.7727667,0.0099,0.54603535,0.3627282,-2.2413752,0.58991325,0.22118095,0.21288824,2.777419,-2.6424556,0.7400508
8.0909815,4.5101805,0.29365847,0.6673862,0.11294405,0.3528896,0.3506052,0.0056,0.51047283,0.3328986,-2.508679,0.40591946,0.10996767,0.11046245,0.6821733,-2.6169255,0.12742479
12.171512,3.4831595,0.5196269,0.56737655,0.187361,0.5053565,0.5602438,0.0056,0.70309144,0.4575926,1.8091371,0.335437,0.18495631,0.18158409,1.7392428,1.7840347,0.523172
9.259326,4.443272,0.3292598,0.6811757,0.11823384,0.43050566,0.6401957,0.0056,0.46668175,0.29774982,-2.4324186,0.60559034,0.116040125,0.11546962,0.7601131,-2.4513156,0.44189128
15.139019,3.0266004,0.6464424,0.56726557,0.23278245,0.4948253,0.91166866,0.0056,0.84770423,0.5353925,-1.9963261,0.51854205,0.23309083,0.22302769,1.5376637,2.2903812,0.29006085
6.2164216,4.5846667,0.23587045,0.63838905,0.4751851,0.7053843,0.37268665,0.0056,0.41570026,0.27589348,-2.7079659,0.33301282,0.4364253,0.43478906,-3.071824,-2.7908854,0.42744875
6.8764625,4.713041,0.24376957,0.68328846,0.21557863,0.78268695,0.72056735,0.0056,0.30714184,0.20201969,-1.7357688,0.39681143,0.22495048,0.21119322,-1.036089,-1.3337989,0.8711498
4.626246,3.1380286,0.34033746,0.32925892,0.24663128,0.52171373,0.3834033,0.0099,0.5082321,0.37324467,-0.36573657,0.26956835,0.29073703,0.28579807,1.452396,0.36413196,0.2950532
6.4204106,4.282528,0.26886025,0.57843524,0.39648733,0.88899,0.81131524,0.0056,0.356,0.22375025,0.040147576,0.71666795,0.3943445,0.38473317,0.024187269,0.030992577,1.6807244
8.641978,3.3384223,0.45708582,0.45796674,0.2779147,0.30859607,0.8291212,0.0056,0.8546637,0.55496645,0.2582351,0.42325565,0.29299256,0.27883127,1.3376462,0.62031156,0.567673
5.707131,4.3900294,0.23681892,0.5837407,0.1725039,0.4363969,0.45416093,0.0056,0.31083012,0.20523304,-1.1398274,0.4882221,0.16737397,0.1684034,-0.6222727,-0.96934634,0.71013653
4.0092635,4.397881,0.17842527,0.54428554,0.17462127,0.6110842,0.6129927,0.0056,0.23518121,0.14930224,-2.1422894,0.6160753,0.16967532,0.16984604,0.12955861,-1.000637,0.5204919
4.4434347,3.1665921,0.32695428,0.3291928,0.25909433,0.44087628,0.39418882,0.0056,0.41397834,0.2994188,-0.89350456,0.33459732,0.26572442,0.26291215,0.11851634,-0.38383138,0.58923334
3.4769182,3.5842426,0.22514002,0.3740764,0.27894285,0.63063025,0.8858837,0.0056,0.2738862,0.18903023,2.9391432,0.4281511,0.33222088,0.26965153,-1.3372527,-2.669703,0.39938885
7.160145,3.455871,0.39292154,0.4414022,0.22282712,0.48259747,0.7861319,0.0056,0.5438347,0.3534273,-2.9604955,0.6811002,0.49261042,0.48184782,0.21852848,0.45353326,0.10946448
3.8943052,4.930098,0.14254507,0.6617536,0.13617632,0.6877241,1.1843513,0.0056,0.25854483,0.1321579,1.4243323,1.0819274,0.14354429,0.13643548,-2.6501613,2.122888,0.8707687
10.265874,3.7171686,0.44243997,0.56203073,0.18727525,0.6055544,0.30290413,0.0056,0.78402656,0.50973845,0.04455529,0.062483795,0.17830694,0.17972456,-0.4514371,-0.39019278,0.48583984
9.241468,3.4200075,0.46074727,0.48584387,0.2583211,0.5571806,0.93075335,0.0056,0.78478295,0.5029316,2.8330538,0.57166326,0.2620796,0.2489094,0.029792234,2.4615498,0.2911464
6.2627325,4.7886066,0.22119534,0.68581414,0.13532601,0.58779204,0.44154507,0.0099,0.39032844,0.25595704,-1.4477932,0.39803234,0.1302754,0.12963891,-2.844249,-2.291453,0.7465659
4.380183,5.047019,0.15118557,0.7017792,0.1694645,0.89649457,0.866358,0.0056,0.23184372,0.13406825,-0.3729975,0.8342318,0.16338226,0.1614417,-0.6602403,-0.5160427,1.644733
5.332544,4.649253,0.20456485,0.63142526,0.11497511,0.53464997,0.3762569,0.0056,0.24886858,0.16606575,1.145238,0.37463805,0.11598516,0.11595386,0.32479528,0.65569454,0.8434397
