bin,llimx,count
0,0,0
1,0.01,0
2,0.02,0
3,0.03,0
4,0.04,0
5,0.05,0
6,0.06,0
7,0.07,0
8,0.08,0
9,0.09,0
10,0.1,0
11,0.11,0
12,0.12,0
13,0.13,0
14,0.14,0
15,0.15,0
16,0.16,0
17,0.17,0
18,0.18,0
19,0.19,0
20,0.2,0
21,0.21,0
22,0.22,0
23,0.23,0
24,0.24,0
25,0.25,160
26,0.26,118
27,0.27,104
28,0.28,111
29,0.29,99
30,0.3,88
31,0.31,83
32,0.32,81
33,0.33,70
34,0.34,81
35,0.35,82
36,0.36,64
37,0.37,62
38,0.38,38
39,0.39,48
40,0.4,41
41,0.41,31
42,0.42,37
43,0.43,30
44,0.44,34
45,0.45,25
46,0.46,31
47,0.47,24
48,0.48,30
49,0.49,13
50,0.5,23
51,0.51,23
52,0.52,23
53,0.53,15
54,0.54,16
55,0.55,12
56,0.56,12
57,0.57,13
58,0.58,9
59,0.59,4
60,0.6,5
61,0.61,4
62,0.62,8
63,0.63,5
64,0.64,3
65,0.65,2
66,0.66,3
67,0.67,2
68,0.68,1
69,0.69,2
70,0.7,0
71,0.71,1
72,0.72,3
73,0.73,1
74,0.74,2
75,0.75,1
76,0.76,1
77,0.77,1
78,0.78,2
79,0.79,0
80,0.8,0
81,0.81,0
82,0.82,0
83,0.83,0
84,0.84,0
85,0.85,0
86,0.86,0
87,0.87,0
88,0.88,0
89,0.89,0
90,0.9,0
91,0.91,0
92,0.92,0
93,0.93,0
94,0.94,0
95,0.95,0
96,0.96,0
97,0.97,0
98,0.98,0
99,0.99,0
100,1,0
