bin,llimx,count
0,0,0
1,0.0175,0
2,0.035,0
3,0.0525,0
4,0.07,0
5,0.0875,0
6,0.105,0
7,0.1225,0
8,0.14,0
9,0.1575,0
10,0.175,0
11,0.1925,0
12,0.21,0
13,0.2275,0
14,0.245,0
15,0.2625,0
16,0.28,0
17,0.2975,0
18,0.315,0
19,0.3325,0
20,0.35,0
21,0.3675,0
22,0.385,0
23,0.4025,0
24,0.42,0
25,0.4375,0
26,0.455,0
27,0.4725,0
28,0.49,0
29,0.5075,0
30,0.525,0
31,0.5425,0
32,0.56,0
33,0.5775,0
34,0.595,0
35,0.6125,0
36,0.63,0
37,0.6475,0
38,0.665,0
39,0.6825,0
40,0.7,5
41,0.7175,0
42,0.735,1
43,0.7525,1
44,0.77,2
45,0.7875,2
46,0.805,1
47,0.8225,3
48,0.84,1
49,0.8575,1
50,0.875,1
51,0.8925,1
52,0.91,1
53,0.9275,1
54,0.945,2
55,0.9625,1
56,0.98,0
57,0.9975,0
58,1.015,0
59,1.0325,0
60,1.05,0
61,1.0675,0
62,1.085,0
63,1.1025,0
64,1.12,0
65,1.1375,0
66,1.155,0
67,1.1725,0
68,1.19,0
69,1.2075,0
70,1.225,0
71,1.2425,0
72,1.26,0
73,1.2775,0
74,1.295,0
75,1.3125,0
76,1.33,0
77,1.3475,0
78,1.365,0
79,1.3825,0
80,1.4,0
81,1.4175,0
82,1.435,0
83,1.4525,0
84,1.47,0
85,1.4875,0
86,1.505,0
87,1.5225,0
88,1.54,0
89,1.5575,0
90,1.575,0
91,1.5925,0
92,1.61,0
93,1.6275,0
94,1.645,0
95,1.6625,0
96,1.68,0
97,1.6975,0
98,1.715,0
99,1.7325,0
100,1.75,0
