bin,llimx,count
0,0,0
1,0.03,0
2,0.06,0
3,0.09,0
4,0.12,0
5,0.15,0
6,0.18,0
7,0.21,0
8,0.24,0
9,0.27,0
10,0.3,0
11,0.33,0
12,0.36,0
13,0.39,0
14,0.42,0
15,0.45,0
16,0.48,15
17,0.51,13
18,0.54,20
19,0.57,17
20,0.6,16
21,0.63,16
22,0.66,11
23,0.69,7
24,0.72,7
25,0.75,9
26,0.78,10
27,0.81,6
28,0.84,7
29,0.87,6
30,0.9,7
31,0.93,9
32,0.96,7
33,0.99,9
34,1.02,6
35,1.05,12
36,1.08,10
37,1.11,8
38,1.14,5
39,1.17,4
40,1.2,4
41,1.23,3
42,1.26,1
43,1.29,6
44,1.32,4
45,1.35,5
46,1.38,3
47,1.41,2
48,1.44,4
49,1.47,3
50,1.5,3
51,1.53,4
52,1.56,4
53,1.59,3
54,1.62,1
55,1.65,1
56,1.68,0
57,1.71,1
58,1.74,0
59,1.77,0
60,1.8,1
61,1.83,1
62,1.86,0
63,1.89,1
64,1.92,2
65,1.95,0
66,1.98,0
67,2.01,0
68,2.04,0
69,2.07,0
70,2.1,0
71,2.13,2
72,2.16,0
73,2.19,1
74,2.22,0
75,2.25,0
76,2.28,2
77,2.31,0
78,2.34,0
79,2.37,0
80,2.4,0
81,2.43,0
82,2.46,1
83,2.49,0
84,2.52,2
85,2.55,0
86,2.58,0
87,2.61,0
88,2.64,0
89,2.67,0
90,2.7,0
91,2.73,0
92,2.76,0
93,2.79,0
94,2.82,0
95,2.85,1
96,2.88,0
97,2.91,0
98,2.94,0
99,2.97,0
100,3,0
