bin,llimx,count
0,0,0
1,0.01,0
2,0.02,0
3,0.03,0
4,0.04,0
5,0.05,0
6,0.06,0
7,0.07,0
8,0.08,0
9,0.09,0
10,0.1,0
11,0.11,0
12,0.12,0
13,0.13,0
14,0.14,0
15,0.15,0
16,0.16,0
17,0.17,0
18,0.18,0
19,0.19,0
20,0.2,0
21,0.21,0
22,0.22,0
23,0.23,0
24,0.24,0
25,0.25,28
26,0.26,14
27,0.27,26
28,0.28,29
29,0.29,30
30,0.3,17
31,0.31,23
32,0.32,25
33,0.33,22
34,0.34,19
35,0.35,12
36,0.36,15
37,0.37,18
38,0.38,13
39,0.39,12
40,0.4,10
41,0.41,15
42,0.42,12
43,0.43,12
44,0.44,8
45,0.45,8
46,0.46,3
47,0.47,6
48,0.48,9
49,0.49,6
50,0.5,7
51,0.51,4
52,0.52,4
53,0.53,4
54,0.54,5
55,0.55,2
56,0.56,1
57,0.57,4
58,0.58,2
59,0.59,4
60,0.6,3
61,0.61,0
62,0.62,0
63,0.63,0
64,0.64,0
65,0.65,2
66,0.66,2
67,0.67,1
68,0.68,1
69,0.69,0
70,0.7,2
71,0.71,0
72,0.72,0
73,0.73,0
74,0.74,1
75,0.75,0
76,0.76,1
77,0.77,0
78,0.78,0
79,0.79,0
80,0.8,1
81,0.81,0
82,0.82,0
83,0.83,0
84,0.84,0
85,0.85,0
86,0.86,0
87,0.87,0
88,0.88,0
89,0.89,0
90,0.9,0
91,0.91,0
92,0.92,0
93,0.93,0
94,0.94,0
95,0.95,0
96,0.96,0
97,0.97,0
98,0.98,0
99,0.99,0
100,1,0
