bin,llimx,count
0,0,0
1,0.03,0
2,0.06,0
3,0.09,0
4,0.12,0
5,0.15,0
6,0.18,0
7,0.21,0
8,0.24,0
9,0.27,0
10,0.3,0
11,0.33,0
12,0.36,0
13,0.39,0
14,0.42,0
15,0.45,0
16,0.48,0
17,0.51,0
18,0.54,0
19,0.57,0
20,0.6,0
21,0.63,0
22,0.66,0
23,0.69,0
24,0.72,0
25,0.75,0
26,0.78,0
27,0.81,0
28,0.84,0
29,0.87,0
30,0.9,0
31,0.93,0
32,0.96,0
33,0.99,33
34,1.02,31
35,1.05,35
36,1.08,29
37,1.11,29
38,1.14,27
39,1.17,29
40,1.2,27
41,1.23,22
42,1.26,15
43,1.29,14
44,1.32,15
45,1.35,10
46,1.38,12
47,1.41,10
48,1.44,6
49,1.47,8
50,1.5,7
51,1.53,10
52,1.56,9
53,1.59,3
54,1.62,7
55,1.65,3
56,1.68,4
57,1.71,1
58,1.74,2
59,1.77,7
60,1.8,5
61,1.83,1
62,1.86,3
63,1.89,4
64,1.92,1
65,1.95,1
66,1.98,3
67,2.01,4
68,2.04,0
69,2.07,1
70,2.1,3
71,2.13,1
72,2.16,1
73,2.19,0
74,2.22,0
75,2.25,0
76,2.28,1
77,2.31,1
78,2.34,0
79,2.37,0
80,2.4,0
81,2.43,0
82,2.46,1
83,2.49,1
84,2.52,0
85,2.55,1
86,2.58,0
87,2.61,0
88,2.64,1
89,2.67,0
90,2.7,0
91,2.73,0
92,2.76,1
93,2.79,0
94,2.82,0
95,2.85,0
96,2.88,0
97,2.91,0
98,2.94,0
99,2.97,0
100,3,0
