bin,llimx,count
0,1.5,0
1,1.54,0
2,1.58,0
3,1.62,0
4,1.66,0
5,1.7,0
6,1.74,0
7,1.78,0
8,1.82,0
9,1.86,0
10,1.9,0
11,1.94,0
12,1.98,0
13,2.02,0
14,2.06,0
15,2.1,0
16,2.14,0
17,2.18,0
18,2.22,0
19,2.26,0
20,2.3,0
21,2.34,0
22,2.38,0
23,2.42,0
24,2.46,0
25,2.5,0
26,2.54,0
27,2.58,0
28,2.62,1
29,2.66,0
30,2.7,0
31,2.74,2
32,2.78,1
33,2.82,1
34,2.86,5
35,2.9,2
36,2.94,5
37,2.98,4
38,3.02,16
39,3.06,16
40,3.1,23
41,3.14,26
42,3.18,27
43,3.22,29
44,3.26,30
45,3.3,46
46,3.34,57
47,3.38,57
48,3.42,56
49,3.46,54
50,3.5,56
51,3.54,73
52,3.58,101
53,3.62,86
54,3.66,98
55,3.7,76
56,3.74,78
57,3.78,107
58,3.82,84
59,3.86,68
60,3.9,72
61,3.94,75
62,3.98,55
63,4.02,57
64,4.06,55
65,4.1,43
66,4.14,28
67,4.18,29
68,4.22,26
69,4.26,10
70,4.3,9
71,4.34,2
72,4.38,1
73,4.42,0
74,4.46,0
75,4.5,0
76,4.54,0
77,4.58,0
78,4.62,0
79,4.66,0
80,4.7,0
81,4.74,0
82,4.78,0
83,4.82,0
84,4.86,0
85,4.9,0
86,4.94,0
87,4.98,0
88,5.02,0
89,5.06,0
90,5.1,0
91,5.14,0
92,5.18,0
93,5.22,0
94,5.26,0
95,5.3,0
96,5.34,0
97,5.38,0
98,5.42,0
99,5.46,0
100,5.5,0
