bin,llimx,count
0,0,0
1,0.03,0
2,0.06,0
3,0.09,0
4,0.12,0
5,0.15,0
6,0.18,0
7,0.21,0
8,0.24,0
9,0.27,0
10,0.3,0
11,0.33,0
12,0.36,0
13,0.39,0
14,0.42,0
15,0.45,0
16,0.48,0
17,0.51,0
18,0.54,0
19,0.57,0
20,0.6,0
21,0.63,0
22,0.66,0
23,0.69,0
24,0.72,0
25,0.75,0
26,0.78,0
27,0.81,0
28,0.84,0
29,0.87,0
30,0.9,0
31,0.93,0
32,0.96,0
33,0.99,13
34,1.02,16
35,1.05,12
36,1.08,14
37,1.11,17
38,1.14,13
39,1.17,9
40,1.2,8
41,1.23,4
42,1.26,7
43,1.29,8
44,1.32,7
45,1.35,8
46,1.38,9
47,1.41,2
48,1.44,3
49,1.47,7
50,1.5,3
51,1.53,6
52,1.56,5
53,1.59,3
54,1.62,2
55,1.65,4
56,1.68,1
57,1.71,5
58,1.74,3
59,1.77,1
60,1.8,2
61,1.83,1
62,1.86,1
63,1.89,1
64,1.92,1
65,1.95,1
66,1.98,0
67,2.01,1
68,2.04,2
69,2.07,1
70,2.1,3
71,2.13,1
72,2.16,2
73,2.19,0
74,2.22,0
75,2.25,1
76,2.28,1
77,2.31,1
78,2.34,0
79,2.37,0
80,2.4,1
81,2.43,1
82,2.46,1
83,2.49,1
84,2.52,1
85,2.55,0
86,2.58,0
87,2.61,0
88,2.64,1
89,2.67,1
90,2.7,0
91,2.73,1
92,2.76,0
93,2.79,0
94,2.82,1
95,2.85,0
96,2.88,0
97,2.91,0
98,2.94,0
99,2.97,0
100,3,0
