bin,llimx,count
0,1.5,0
1,1.54,0
2,1.58,0
3,1.62,0
4,1.66,0
5,1.7,0
6,1.74,0
7,1.78,0
8,1.82,0
9,1.86,0
10,1.9,0
11,1.94,0
12,1.98,0
13,2.02,0
14,2.06,0
15,2.1,0
16,2.14,0
17,2.18,0
18,2.22,0
19,2.26,0
20,2.3,0
21,2.34,0
22,2.38,0
23,2.42,0
24,2.46,0
25,2.5,0
26,2.54,0
27,2.58,0
28,2.62,0
29,2.66,0
30,2.7,0
31,2.74,0
32,2.78,0
33,2.82,0
34,2.86,0
35,2.9,0
36,2.94,0
37,2.98,0
38,3.02,0
39,3.06,0
40,3.1,0
41,3.14,0
42,3.18,0
43,3.22,0
44,3.26,0
45,3.3,0
46,3.34,0
47,3.38,0
48,3.42,0
49,3.46,0
50,3.5,0
51,3.54,0
52,3.58,0
53,3.62,0
54,3.66,0
55,3.7,1
56,3.74,1
57,3.78,5
58,3.82,2
59,3.86,9
60,3.9,7
61,3.94,11
62,3.98,13
63,4.02,13
64,4.06,12
65,4.1,22
66,4.14,31
67,4.18,48
68,4.22,37
69,4.26,62
70,4.3,60
71,4.34,80
72,4.38,61
73,4.42,91
74,4.46,113
75,4.5,107
76,4.54,114
77,4.58,165
78,4.62,165
79,4.66,167
80,4.7,170
81,4.74,162
82,4.78,140
83,4.82,150
84,4.86,105
85,4.9,67
86,4.94,33
87,4.98,13
88,5.02,3
89,5.06,0
90,5.1,0
91,5.14,0
92,5.18,0
93,5.22,0
94,5.26,0
95,5.3,0
96,5.34,0
97,5.38,0
98,5.42,0
99,5.46,0
100,5.5,0
