bin,count,z_k,z_k_err,phperp_k,phperp_k_err,phperp2_k,phperp2_k_err,mx_k,mx_k_err,x,x_err,Q2,Q2_err
0,6648,0.143702,0.0459401,0.267584,0.0906025,0.0798086,0.0444637,4.17903,0.338343,0.155029,0.0253809,4.02372,0.541636
1,1050,0.351252,0.103225,0.252062,0.101367,0.0738006,0.0480193,3.60197,0.415212,0.167342,0.0235515,3.96354,0.504813
2,7066,0.15717,0.0417976,0.531712,0.082907,0.28959,0.0902029,4.01735,0.335771,0.153367,0.0253971,4.00824,0.545008
3,1347,0.337487,0.0890085,0.544664,0.0852141,0.303915,0.0936003,3.59593,0.39852,0.163277,0.024617,3.96887,0.522328
4,2695,0.180547,0.037357,0.869846,0.155073,0.780671,0.306974,3.66344,0.381069,0.152691,0.025054,4.04161,0.542723
5,1151,0.337617,0.0925812,0.939755,0.197636,0.922166,0.416927,3.33557,0.456989,0.160024,0.0258287,3.94654,0.512372
6,2107,0.177988,0.0436766,0.248416,0.101581,0.0720244,0.0468111,3.33988,0.264092,0.232081,0.0208122,4.41344,0.408401
7,1236,0.362063,0.108181,0.238928,0.103045,0.0676964,0.0479369,2.95952,0.32826,0.239762,0.0217995,4.26246,0.451188
8,1645,0.189407,0.0372533,0.530049,0.0827352,0.287793,0.0897799,3.15204,0.280862,0.231423,0.020984,4.41699,0.425832
9,1314,0.345307,0.0927318,0.539388,0.085168,0.298187,0.0933656,2.86859,0.306758,0.239097,0.0213721,4.24533,0.454522
10,467,0.204232,0.0286045,0.831587,0.118949,0.705656,0.218065,2.86771,0.32929,0.227739,0.0194304,4.5322,0.381371
11,792,0.353215,0.0940485,0.898416,0.16519,0.834405,0.330178,2.58484,0.364849,0.236363,0.0215351,4.30324,0.452793
12,680,0.197305,0.0373315,0.232501,0.101163,0.0642755,0.0459859,2.60512,0.307472,0.329276,0.0476648,4.5096,0.364914
13,2163,0.399773,0.108135,0.234536,0.0974443,0.0644982,0.0447069,2.19654,0.360553,0.369571,0.0669312,4.40111,0.405763
14,366,0.207316,0.0301441,0.5187,0.0826595,0.275864,0.0887078,2.4605,0.281124,0.316228,0.0359302,4.51433,0.364429
15,1544,0.387915,0.0983181,0.528153,0.0819741,0.285661,0.0887188,2.16486,0.319929,0.34776,0.052015,4.41499,0.397945
16,48,0.224959,0.0191963,0.78286,0.0824198,0.619521,0.139302,2.22502,0.278716,0.3041,0.0296904,4.59076,0.275662
17,505,0.396243,0.0986884,0.834162,0.111015,0.708127,0.198696,1.98527,0.266677,0.325733,0.0370255,4.44484,0.393915
18,6922,0.143683,0.0459271,0.259616,0.09606,0.0766264,0.0461134,3.99902,0.310094,0.229038,0.0288657,6.03379,0.746159
19,1273,0.360504,0.107354,0.241543,0.102259,0.0687918,0.0475688,3.4709,0.381953,0.23992,0.0264267,5.88213,0.683238
20,6917,0.158574,0.0416801,0.532943,0.0832949,0.290965,0.0905264,3.82686,0.310802,0.227813,0.0292243,6.04494,0.755322
21,1382,0.343963,0.0927443,0.546558,0.0853703,0.306009,0.0937453,3.44199,0.356125,0.236733,0.0277944,5.89239,0.697534
22,2638,0.180164,0.0363756,0.870874,0.150645,0.781107,0.296895,3.46075,0.380466,0.225209,0.0289102,6.04933,0.753388
23,1190,0.340764,0.0979228,0.924856,0.184633,0.88942,0.382863,3.19384,0.409707,0.234082,0.0283273,5.92123,0.707955
24,3933,0.170396,0.0447477,0.245644,0.100753,0.0704895,0.0469387,3.28263,0.316677,0.317463,0.0277206,6.59106,0.825519
25,2145,0.361403,0.107973,0.240473,0.100207,0.0678642,0.0471351,2.86341,0.343839,0.327263,0.0280714,6.16525,0.817033
26,3048,0.181981,0.0391151,0.528556,0.082754,0.286217,0.0894379,3.11602,0.329018,0.315826,0.0271753,6.67948,0.817764
27,1961,0.351831,0.0984436,0.541115,0.0838475,0.299832,0.0915383,2.7712,0.33585,0.326475,0.0283003,6.22082,0.831004
28,936,0.200914,0.0324486,0.839373,0.122697,0.719585,0.228417,2.80051,0.368474,0.312211,0.0256636,6.84518,0.778017
29,1203,0.359819,0.0952521,0.895015,0.162265,0.82736,0.322451,2.49596,0.370532,0.323163,0.0275537,6.33997,0.843004
30,1486,0.194778,0.0381515,0.230091,0.103609,0.0636694,0.0469186,2.52433,0.324794,0.43732,0.0547189,6.78087,0.815081
31,3273,0.38886,0.106103,0.234737,0.098569,0.0648142,0.0452891,2.13521,0.344179,0.472998,0.0690268,6.4205,0.851798
32,772,0.20426,0.0316133,0.521192,0.0767985,0.277532,0.0826688,2.384,0.315418,0.426251,0.0429904,6.96191,0.750385
33,2102,0.379122,0.100999,0.530854,0.0833068,0.288742,0.0905403,2.08118,0.315361,0.453603,0.0571571,6.49709,0.828985
34,112,0.212468,0.0267537,0.796964,0.0915122,0.643451,0.157491,2.0939,0.291016,0.407727,0.0291023,7.01907,0.675453
35,653,0.377448,0.0929395,0.833296,0.111087,0.706703,0.198271,1.94465,0.268584,0.426406,0.0395599,6.66942,0.804772
36,4610,0.150349,0.0467158,0.253327,0.0990988,0.073993,0.0472183,3.57157,0.348807,0.366091,0.0489169,9.5435,1.2308
37,993,0.368985,0.115253,0.242305,0.0981925,0.0683436,0.0461263,3.09459,0.397607,0.382906,0.0453334,9.2915,1.07769
38,4031,0.160981,0.0417079,0.529542,0.0840735,0.287481,0.0912766,3.4108,0.353174,0.360674,0.0484445,9.53445,1.19605
39,1065,0.349926,0.104687,0.53857,0.0850216,0.297279,0.0928867,3.05279,0.39281,0.377477,0.047099,9.26378,1.07096
40,1471,0.184127,0.0366981,0.859655,0.138478,0.758171,0.264144,3.00663,0.436248,0.357957,0.0494856,9.52354,1.22147
41,714,0.346911,0.102456,0.92207,0.186196,0.884834,0.386394,2.76694,0.449348,0.373795,0.0485134,9.34526,1.1374
42,2622,0.17183,0.0456734,0.241342,0.0995331,0.068149,0.0463722,2.69072,0.419992,0.543551,0.0726052,11.9946,2.58118
43,1782,0.3621,0.0980039,0.244737,0.0978061,0.069457,0.0461922,2.27993,0.399517,0.568032,0.0801684,10.7214,2.37388
44,1812,0.179702,0.0412453,0.523532,0.0825007,0.280888,0.0891377,2.56281,0.407091,0.53234,0.0672244,12.381,2.60706
45,1404,0.359901,0.10104,0.532377,0.0866071,0.290921,0.0943021,2.199,0.389137,0.555808,0.070475,10.8657,2.30925
46,378,0.196908,0.0331356,0.822371,0.111953,0.688794,0.20165,2.29983,0.366758,0.517821,0.0547671,12.8349,2.3986
47,520,0.355029,0.0940014,0.848743,0.127605,0.736617,0.238577,2.05488,0.337358,0.526525,0.0541539,10.9932,2.2671
