bin,count,z_km,z_km_err,phperp_km,phperp_km_err,phperp2_km,phperp2_km_err,mx_km,mx_km_err,x,x_err,Q2,Q2_err
0,401,0.127214,0.0451725,0.346823,0.0401498,0.121894,0.0265056,4.03924,0.321004,0.160397,0.0246054,4.03437,0.522074
1,44,0.402272,0.120381,0.31485,0.0789483,0.105221,0.0434222,3.30716,0.354708,0.178261,0.0190011,3.9567,0.512172
2,1831,0.146981,0.0413822,0.545072,0.0819308,0.303813,0.0902244,3.99699,0.336674,0.153736,0.0253364,4.02311,0.545227
3,200,0.334096,0.0882976,0.571129,0.0835678,0.333137,0.0937068,3.56065,0.362817,0.164908,0.0241828,3.9629,0.502228
4,908,0.17513,0.0382418,0.858002,0.138337,0.755283,0.265742,3.66004,0.38071,0.15235,0.0250685,4.01657,0.533325
5,316,0.3663,0.096841,0.965574,0.202817,0.973338,0.429571,3.27673,0.433506,0.159378,0.0254035,3.93548,0.526794
6,268,0.170254,0.0439027,0.31055,0.0649947,0.10065,0.0381803,3.26939,0.251116,0.234723,0.0199402,4.38163,0.407704
7,123,0.383773,0.144837,0.277805,0.0860287,0.0845164,0.044086,2.879,0.402877,0.240547,0.0213981,4.23805,0.475067
8,472,0.181955,0.0374154,0.537599,0.0842125,0.29609,0.0925407,3.15578,0.297541,0.230032,0.0199954,4.42693,0.422868
9,223,0.338484,0.088396,0.552252,0.0870849,0.312532,0.0962301,2.86886,0.287068,0.238932,0.0229554,4.23768,0.477322
10,153,0.200596,0.0309326,0.831256,0.116796,0.704539,0.21616,2.82756,0.314657,0.227116,0.0179072,4.46098,0.417078
11,222,0.369337,0.109123,0.907656,0.16214,0.850011,0.323678,2.54689,0.3578,0.238426,0.0211726,4.32314,0.434546
12,121,0.210434,0.0283899,0.280161,0.0918055,0.086849,0.0468594,2.58717,0.292256,0.32951,0.0438525,4.51097,0.36022
13,290,0.400606,0.11531,0.227331,0.103725,0.0624012,0.0477935,2.1596,0.332152,0.37568,0.0665142,4.40195,0.40018
14,90,0.201334,0.0318404,0.515025,0.085728,0.272518,0.092613,2.41567,0.29662,0.323282,0.0392461,4.55961,0.355081
15,261,0.361334,0.0992612,0.543433,0.0819525,0.30201,0.0906325,2.17478,0.312763,0.345309,0.0523238,4.38316,0.412957
16,24,0.22595,0.0182336,0.823558,0.086426,0.685406,0.143785,2.09847,0.273324,0.305423,0.0346182,4.50929,0.320043
17,107,0.389796,0.0965337,0.83159,0.116233,0.704925,0.209318,2.00618,0.308004,0.323601,0.0395338,4.43605,0.424914
18,600,0.1358,0.0450019,0.334453,0.0507001,0.114425,0.0319484,3.86493,0.312634,0.233797,0.0288908,5.94821,0.726058
19,65,0.362588,0.114234,0.311046,0.0746383,0.102235,0.0403945,3.37823,0.362869,0.245203,0.0188663,5.85728,0.690458
20,1793,0.151174,0.0413795,0.541846,0.0843233,0.300704,0.0925092,3.79657,0.312502,0.228547,0.029356,6.03426,0.75215
21,198,0.349022,0.0924861,0.566642,0.0829583,0.32793,0.093399,3.42993,0.348504,0.233369,0.0272391,5.80608,0.665171
22,754,0.174326,0.039128,0.866306,0.146565,0.771939,0.286272,3.41906,0.41536,0.226173,0.0292638,6.03756,0.786624
23,303,0.359018,0.105284,0.95657,0.199233,0.954588,0.420917,3.15043,0.431004,0.233528,0.0296109,5.94197,0.7361
24,505,0.168542,0.0431169,0.296113,0.0734511,0.0930673,0.0409484,3.22946,0.295956,0.321187,0.0280505,6.59562,0.840973
