bin,count,z_pi,z_pi_err,phperp_pi,phperp_pi_err,phperp2_pi,phperp2_pi_err,mx_pi,mx_pi_err,x,x_err,Q2,Q2_err
0,4339,0.0502201,0.0122214,0.145716,0.0392132,0.0227706,0.0104478,4.77648,0.2306,0.136833,0.0169193,3.80565,0.493022
1,1896,0.100526,0.0203122,0.13999,0.0452252,0.0216415,0.0113286,4.63424,0.24884,0.139098,0.0160988,3.76668,0.47971
2,540,0.191272,0.029147,0.137157,0.045192,0.0208505,0.0113663,4.38802,0.246955,0.14082,0.0155526,3.757,0.45612
3,242,0.291477,0.0275831,0.137383,0.0438027,0.0207847,0.0109318,4.08607,0.238839,0.142368,0.0146064,3.72914,0.451786
4,211,0.426141,0.0534513,0.142639,0.0437682,0.0222525,0.011141,3.6578,0.25495,0.144971,0.0126191,3.72472,0.440425
5,35,0.624129,0.0584051,0.138057,0.0455566,0.0210758,0.0108341,2.93766,0.234452,0.149685,0.00853159,3.67969,0.30465
6,7019,0.0562958,0.0108089,0.284769,0.0550401,0.0841222,0.0324585,4.66962,0.225712,0.136164,0.0172835,3.81678,0.504834
7,6030,0.102958,0.0206179,0.307242,0.0565615,0.0975963,0.0344157,4.56734,0.249112,0.138057,0.016679,3.77229,0.481094
8,2151,0.190077,0.0281167,0.312483,0.0559755,0.100778,0.0342614,4.39871,0.237058,0.138541,0.0164094,3.78746,0.485119
9,765,0.291807,0.0281444,0.315953,0.056216,0.102983,0.0345815,4.12692,0.228714,0.13963,0.016359,3.79056,0.492061
10,443,0.42538,0.0555309,0.306714,0.0570926,0.097326,0.0347346,3.73998,0.260588,0.140379,0.0150569,3.8032,0.465262
11,97,0.634238,0.0738896,0.305163,0.0608516,0.0967892,0.0370298,3.00974,0.353418,0.142637,0.0142358,3.82581,0.472535
12,6586,0.0987146,0.0252124,0.482565,0.0556623,0.235967,0.0549307,4.43978,0.238194,0.136917,0.017083,3.81059,0.499452
13,2744,0.192755,0.0281858,0.499706,0.0569343,0.252946,0.0570395,4.31221,0.242816,0.136999,0.0168076,3.76137,0.480364
14,1114,0.291158,0.0275059,0.498681,0.0588295,0.25214,0.0588986,4.0868,0.226733,0.138122,0.0167179,3.78366,0.496321
15,668,0.426127,0.0518806,0.50643,0.0563937,0.259647,0.0567967,3.67522,0.266054,0.139965,0.0163685,3.76449,0.481879
16,128,0.6339,0.0733886,0.503485,0.0551588,0.256516,0.055478,2.98707,0.354523,0.138427,0.0167739,3.74652,0.484125
