bin,count,z_pim,z_pim_err,phperp_pim,phperp_pim_err,phperp2_pim,phperp2_pim_err,mx_pim,mx_pim_err,x,x_err,Q2,Q2_err
0,15,0.038629,0.0179695,0.19292,0.00556726,0.0372471,0.00215229,4.57562,0.224216,0.142238,0.0104022,3.76733,0.439642
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,0.735062,0.0273819,0.170737,0.0438373,0.0304322,0.0138624,2.41437,0.0973773,0.154119,0.00594037,3.46456,0.341856
5,2240,0.0609473,0.0169492,0.322374,0.0470689,0.106139,0.0297914,4.59429,0.232038,0.137438,0.016811,3.80986,0.489927
6,260,0.117706,0.013011,0.357587,0.0343809,0.129046,0.0236002,4.40883,0.244345,0.142578,0.0135986,3.73674,0.433351
7,80,0.182248,0.0266933,0.353708,0.0353205,0.126341,0.0240774,4.27158,0.263715,0.143654,0.013595,3.7264,0.46207
8,23,0.28724,0.0298235,0.346106,0.0408737,0.121387,0.0266866,3.95715,0.163478,0.14995,0.00845464,3.78692,0.378412
9,32,0.43451,0.0576058,0.331194,0.0591193,0.113075,0.0361904,3.58567,0.283349,0.145111,0.0110201,3.68629,0.394231
10,12,0.651234,0.0624796,0.314138,0.0537675,0.101333,0.0336095,2.80078,0.29427,0.150973,0.0106808,3.65347,0.383475
11,1708,0.0784153,0.0129344,0.477783,0.053549,0.231142,0.0525419,4.45669,0.22864,0.135562,0.0175937,3.81382,0.516251
12,1002,0.121079,0.0140658,0.50456,0.0575294,0.257888,0.057998,4.38798,0.251203,0.13794,0.0167527,3.77262,0.487205
13,591,0.18619,0.0266835,0.51539,0.0558562,0.268742,0.056594,4.24571,0.243266,0.140822,0.0158722,3.76842,0.482309
14,128,0.296435,0.0303463,0.517011,0.0602787,0.270906,0.061253,4.02604,0.235128,0.140544,0.0159381,3.78313,0.436345
15,99,0.428209,0.0522537,0.509043,0.0588952,0.262558,0.0590694,3.66681,0.279774,0.139294,0.0171591,3.74063,0.509732
16,24,0.629556,0.0792629,0.521207,0.0489753,0.273956,0.0500338,2.95083,0.355295,0.141295,0.0134764,3.71451,0.346712
17,1025,0.116639,0.0199476,0.712555,0.0906866,0.515951,0.137398,4.1812,0.249387,0.135453,0.0172202,3.82151,0.496956
18,1015,0.192685,0.0283167,0.760752,0.107129,0.590208,0.167876,4.10259,0.266495,0.136531,0.0172991,3.76879,0.496539
19,406,0.29334,0.0294371,0.781827,0.113891,0.624192,0.181451,3.90778,0.248263,0.137791,0.0174344,3.75396,0.489323
20,349,0.430392,0.055949,0.793651,0.110714,0.642105,0.177157,3.58159,0.273809,0.137498,0.0172593,3.77957,0.494922
21,73,0.64598,0.0696441,0.808884,0.104675,0.6651,0.169657,2.86147,0.331129,0.13777,0.0144189,3.81357,0.433277
22,208,0.197727,0.0324508,1.12994,0.109361,1.28867,0.262259,3.65844,0.295663,0.135768,0.0170162,3.84921,0.499511
23,188,0.295421,0.0274017,1.20789,0.151183,1.48173,0.387441,3.55749,0.300448,0.136004,0.0186067,3.8128,0.560673
24,172,0.486364,0.107163,1.21795,0.185198,1.51749,0.512307,3.11388,0.435534,0.136804,0.0164827,3.79446,0.499753
25,35,0.0532248,0.0225619,0.185034,0.0140094,0.0344282,0.0049285,4.10021,0.261512,0.1856,0.0090815,4.12569,0.474517
